SCATS_ID,Location,Latitude,Longitude,Data_Points,Start_Time,End_Time
0970,HIGH STREET_RD E of WARRIGAL_RD,-37.86735,145.09195,9984,2006-10-01,2006-10-31 23:45:00
2000,WARRIGAL_RD N of TOORAK_RD,-37.8516827,145.0943457,10944,2006-10-01,2006-10-31 23:45:00
2200,UNION_RD N of MAROONDAH_HWY,-37.81631,145.09812,11904,2006-10-01,2006-10-31 23:45:00
2820,EARL_ST SE of PRINCESS_ST,-37.79477,145.03077,5856,2006-10-01,2006-10-31 23:45:00
2825,BURKE_RD S of EASTERN_FWY,-37.78661,145.06202,2976,2006-10-01,2006-10-31 23:45:00
2827,BULLEEN_RD N of THOMPSONS_RD,-37.78093,145.07733,11904,2006-10-01,2006-10-31 23:45:00
2846,S.E.ARTERIAL N OF HIGH_ST,-37.8612671,145.058038,11904,2006-10-01,2006-10-31 23:45:00
3001,HIGH_ST NE of BARKERS_RD,-37.81441,145.02243,9120,2006-10-01,2006-10-31 23:45:00
3002,DENMARK_ST N of BARKERS_RD,-37.81489,145.02663,9984,2006-10-01,2006-10-31 23:45:00
3120,BURKE_RD N of CANTERBURY_RD,-37.82264,145.05734,11904,2006-10-01,2006-10-31 23:45:00
3122,CANTERBURY_RD E of STANHOPE_GV,-37.82379,145.06466,8928,2006-10-01,2006-10-31 23:45:00
3126,CANTERBURY_RD E of WARRIGAL_RD,-37.82778,145.09885,8928,2006-10-01,2006-10-31 23:45:00
3127,BALWYN_RD N of CANTERBURY_RD,-37.82506,145.078,7488,2006-10-01,2006-10-31 23:45:00
3180,DONCASTER_RD E of BALWYN_RD,-37.79611,145.08372,8928,2006-10-01,2006-10-31 23:45:00
3662,PRINCESS_ST N of HIGH_ST,-37.80876,145.02757,11904,2006-10-01,2006-10-31 23:45:00
3682,WARRIGAL_RD N OF RIVERSDALE_RD,-37.83695,145.09699,11136,2006-10-01,2006-10-31 23:45:00
3685,WARRIGAL_RD N of HIGHBURY_RD,-37.85467,145.09384,7968,2006-10-01,2006-10-31 23:45:00
3804,TRAFALGAR_RD N of RIVERSDALE_RD,-37.83331,145.06247,11904,2006-10-01,2006-10-31 23:45:00
3812,TRAFALGAR_RD NE of CAMBERWELL_RD,-37.83738,145.06119,11904,2006-10-01,2006-10-31 23:45:00
4030,BURKE_RD S of DONCASTER_RD,-37.79561,145.06251,8928,2006-10-01,2006-10-31 23:45:00
4032,BURKE_RD N of HARP_RD,-37.80202,145.06127,11904,2006-10-01,2006-10-31 23:45:00
4034,BURKE_RD N OF WHITEHORSE_RD,-37.81147,145.05946,11904,2006-10-01,2006-10-31 23:45:00
4035,BURKE_RD N of MONT ALBERT_RD,-37.8172654,145.0583603,11904,2006-10-01,2006-10-31 23:45:00
4040,BURKE_RD N of RIVERSDALE_RD,-37.83256,145.05545,17856,2006-10-01,2006-10-31 23:45:00
4043,BURKE_RD N of TOORAK_RD,-37.84683,145.05275,11904,2006-10-01,2006-10-31 23:45:00
4051,DONCASTER_RD E of BULLEEN_RD,-37.79419,145.0696,8928,2006-10-01,2006-10-31 23:45:00
4057,BALWYN_RD N OF BELMORE_RD,-37.80431,145.08197,11712,2006-10-01,2006-10-31 23:45:00
4063,BALWYN_RD N OF WHITEHORSE_RD,-37.81404,145.0801,11904,2006-10-01,2006-10-31 23:45:00
4262,BRIDGE_RD SW of BURWOOD_RD,-37.82155,145.01503,2496,2006-10-01,2006-10-31 23:45:00
4263,POWER_ST N of BURWOOD_RD,-37.8228462,145.0251292,9984,2006-10-01,2006-10-31 23:45:00
4264,GLENFERRIE_RD N of BURWOOD_RD,-37.82389,145.03409,11040,2006-10-01,2006-10-31 23:45:00
4266,AUBURN_RD N of BURWOOD_RD,0.0,0.0,11904,2006-10-01,2006-10-31 23:45:00
4270,GLENFERRIE_RD N of RIVERSDALE_RD,-37.82951,145.03304,11904,2006-10-01,2006-10-31 23:45:00
4272,RIVERSDALE_RD E of TOORONGA_RD,-37.83186,145.04668,8640,2006-10-02,2006-10-31 23:45:00
4273,TOORONGA_RD N of TOORAK_RD,-37.84632,145.04378,5952,2006-10-01,2006-10-31 23:45:00
4321,HIGH_ST NE OF HARP_ST,-37.800776,145.0494611,11904,2006-10-01,2006-10-31 23:45:00
4324,COTHAM_RD E OF GLENFERRIE_RD,-37.809274,145.037306,8928,2006-10-01,2006-10-31 23:45:00
4335,HIGH_ST NE of CHARLES_ST,-37.80624,145.03518,5952,2006-10-01,2006-10-31 23:45:00
4812,SWAN_ST NE of MADDEN_GV,-37.82859,145.01644,7488,2006-10-01,2006-10-31 23:45:00
4821,WALMER_ST N OF VICTORIA_ST,-37.81285,145.00849,11904,2006-10-01,2006-10-31 23:45:00
